repo,instance_id,version,n_files_touched,patch_size,n_test_files_touched,test_patch_size,num_FAIL_TO_PASS,problem_length_words,predicted_GH_labels,dominant_topic,hdbscan_topic,hdbscan_topic_all,ExpeRepair_Claude4,Refact_ai_Agent,KGCompass_Claude4,SWE-agent_Claude4,SWE-agent_Claude3_7,KGCompass_DeepSeek_V3,Moatless_Tools_Deepseek_V3,SWE-Fixer_Qwen25-7b,SWE-agent_GPT_4o,SWE-agent_Claude3Opus
sphinx-doc/sphinx,sphinx-doc__sphinx-8273,3.3,1,10,1,7,1,154,enhancement,13,1,2,0,0,0,0,0,0,0,0,0,0
sphinx-doc/sphinx,sphinx-doc__sphinx-8282,3.3,1,10,1,48,1,104,bug,3,1,0,0,0,0,0,0,0,0,0,0,0
sphinx-doc/sphinx,sphinx-doc__sphinx-8435,3.4,1,6,2,50,1,105,bug,3,1,0,0,0,0,0,1,0,0,0,0,0
sphinx-doc/sphinx,sphinx-doc__sphinx-8474,3.4,1,5,1,8,4,91,bug,4,1,4,0,0,0,0,0,0,0,0,0,0
sphinx-doc/sphinx,sphinx-doc__sphinx-8506,3.4,1,7,1,22,1,169,bug,10,1,2,0,0,0,0,0,0,0,0,0,0
sphinx-doc/sphinx,sphinx-doc__sphinx-8595,3.5,1,2,2,43,1,90,bug,3,1,0,1,1,0,1,1,0,1,1,0,0
sphinx-doc/sphinx,sphinx-doc__sphinx-8627,3.5,1,7,1,3,2,156,bug,12,1,2,1,0,0,1,0,0,0,0,0,0
sphinx-doc/sphinx,sphinx-doc__sphinx-8713,4.0,1,8,1,9,1,193,bug,7,1,0,1,1,1,1,1,0,0,1,0,1
sphinx-doc/sphinx,sphinx-doc__sphinx-8721,3.5,1,4,1,15,1,78,bug,3,1,0,1,1,0,1,1,1,1,1,0,0
sphinx-doc/sphinx,sphinx-doc__sphinx-8801,3.5,1,27,2,75,1,117,bug,3,1,-1,1,0,0,1,1,0,0,0,0,0
sympy/sympy,sympy__sympy-11400,1.0,1,14,1,22,2,42,bug,6,6,2,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-11870,1.1,1,7,1,12,1,58,enhancement,9,6,2,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-11897,1.0,1,4,1,2,1,98,bug,1,6,2,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-12171,1.0,1,3,1,10,1,75,bug,6,6,2,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-12236,1.0,1,6,2,18,1,302,bug,6,6,2,0,0,0,1,0,0,0,0,0,0
sympy/sympy,sympy__sympy-12419,1.0,1,10,1,8,1,187,bug,4,5,2,1,1,0,1,1,0,0,0,0,0
sympy/sympy,sympy__sympy-12454,1.0,1,4,1,5,2,172,bug,9,5,2,1,1,0,1,0,0,0,0,0,0
sympy/sympy,sympy__sympy-12481,1.0,1,8,1,2,1,55,bug,0,-1,0,1,1,1,1,1,0,1,0,1,0
sympy/sympy,sympy__sympy-13031,1.1,1,12,1,6,1,108,bug,6,5,2,1,1,1,0,1,1,0,0,0,0
sympy/sympy,sympy__sympy-13043,1.1,1,6,1,16,1,68,bug,7,-1,0,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-13146,1.1,1,8,1,3,1,45,question,4,6,2,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-13177,1.1,1,3,1,15,2,76,bug,6,6,2,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-13437,1.1,1,9,1,11,1,98,bug,4,6,0,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-13471,1.1,1,5,1,6,1,108,bug,2,2,0,1,1,1,1,1,1,1,1,0,0
sympy/sympy,sympy__sympy-13480,1.1,1,2,1,2,1,56,bug,8,6,2,1,1,1,1,1,1,1,1,1,1
sympy/sympy,sympy__sympy-13647,1.1,1,2,1,8,1,211,bug,6,5,2,1,1,1,1,1,1,1,0,1,0
sympy/sympy,sympy__sympy-13773,1.1,1,8,1,24,1,111,bug,4,5,2,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-13895,1.1,1,8,1,14,2,67,bug,8,6,2,0,0,1,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-13915,1.1,1,5,1,10,1,106,bug,4,6,2,0,0,1,1,0,0,0,0,0,0
sympy/sympy,sympy__sympy-13971,1.1,1,4,1,24,1,72,bug,4,6,0,1,1,1,0,1,1,1,1,0,0
sympy/sympy,sympy__sympy-14024,1.1,1,12,1,8,2,102,bug,11,6,2,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-14308,1.1,1,39,2,36,2,45,bug,6,-1,3,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-14317,1.1,1,45,1,11,2,109,bug,1,6,3,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-14396,1.1,1,8,1,10,1,176,bug,6,4,2,1,1,0,1,1,0,0,0,0,0
sympy/sympy,sympy__sympy-14774,1.1,1,2,1,4,1,67,bug,4,6,0,1,1,1,1,1,1,1,1,1,1
sympy/sympy,sympy__sympy-14817,1.1,1,3,1,7,1,226,bug,10,6,2,1,0,0,1,0,0,1,0,1,0
sympy/sympy,sympy__sympy-15011,1.2,1,14,1,8,1,101,bug,8,5,2,1,1,1,1,1,1,1,0,0,0
sympy/sympy,sympy__sympy-15308,1.4,1,8,1,32,1,46,bug,4,5,2,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-15345,1.4,1,5,1,3,1,41,bug,5,6,2,1,1,0,1,1,0,0,0,0,0
sympy/sympy,sympy__sympy-15346,1.4,1,2,1,11,1,125,question,7,6,2,1,1,0,1,1,0,0,0,0,0
sympy/sympy,sympy__sympy-15609,1.4,1,5,1,5,1,60,bug,4,5,2,1,1,1,1,0,1,1,1,0,0
sympy/sympy,sympy__sympy-15678,1.4,1,11,1,10,1,108,bug,9,6,2,1,1,1,1,0,0,0,0,1,0
sympy/sympy,sympy__sympy-16106,1.4,1,20,1,16,1,178,bug,6,6,2,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-16281,1.4,1,7,1,61,2,280,enhancement,1,6,0,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-16503,1.5,1,10,1,104,1,54,bug,6,6,3,0,1,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-16792,1.5,1,16,1,19,1,285,bug,6,6,0,1,1,1,1,1,0,0,0,0,0
sympy/sympy,sympy__sympy-16988,1.5,1,2,1,5,2,56,bug,11,-1,0,1,0,1,1,0,0,0,0,0,0
sympy/sympy,sympy__sympy-17022,1.5,1,7,2,25,1,140,bug,4,5,4,1,1,1,1,0,0,0,0,0,0
sympy/sympy,sympy__sympy-17139,1.5,1,2,2,9,2,206,bug,11,6,0,1,1,1,1,1,1,1,0,0,0
sympy/sympy,sympy__sympy-17630,1.5,1,2,2,22,2,303,bug,6,5,0,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-17655,1.5,1,4,1,4,2,199,bug,6,-1,2,1,0,1,1,1,0,1,1,0,0
sympy/sympy,sympy__sympy-18057,1.6,1,2,2,24,1,271,bug,6,6,4,1,1,1,1,0,0,0,0,0,0
sympy/sympy,sympy__sympy-18087,1.6,1,14,2,5,2,44,bug,8,6,2,1,0,1,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-18189,1.6,1,2,1,8,1,106,question,0,6,2,1,1,1,1,1,1,0,0,0,0
sympy/sympy,sympy__sympy-18199,1.6,1,50,2,18,1,66,bug,1,6,3,0,0,1,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-18532,1.6,1,9,2,6,2,54,bug,6,4,2,1,1,1,1,0,1,0,0,0,0
sympy/sympy,sympy__sympy-18621,1.6,1,2,1,4,1,198,bug,6,5,2,1,1,1,1,1,1,0,1,0,0
sympy/sympy,sympy__sympy-18698,1.6,1,11,1,7,1,106,bug,6,6,2,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-18835,1.6,1,21,1,4,1,135,enhancement,7,-1,-1,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-19007,1.6,1,18,2,69,3,82,bug,6,5,3,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-19254,1.7,1,61,1,3,1,77,enhancement,5,6,3,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-19487,1.7,1,3,2,12,1,105,enhancement,8,6,2,0,1,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-20049,1.7,1,34,1,104,4,222,bug,10,-1,3,0,1,1,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-20154,1.7,1,23,1,16,2,88,enhancement,4,6,3,1,1,1,1,1,0,0,1,1,0
sympy/sympy,sympy__sympy-20212,1.7,1,2,1,3,1,79,bug,4,6,0,1,1,1,1,1,0,1,1,1,0
sympy/sympy,sympy__sympy-20322,1.8,1,54,1,21,1,77,question,6,6,2,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-20442,1.8,1,7,1,6,1,94,bug,5,-1,2,1,1,1,1,1,1,0,0,0,0
sympy/sympy,sympy__sympy-20590,1.7,1,5,1,6,1,80,question,6,-1,2,1,1,1,1,1,1,0,0,0,0
sympy/sympy,sympy__sympy-20639,1.8,1,24,1,51,2,57,bug,6,6,3,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-21055,1.8,1,23,1,6,1,91,enhancement,8,6,3,1,1,1,1,1,0,1,0,0,0
sympy/sympy,sympy__sympy-21171,1.8,1,4,1,13,1,707,bug,6,6,1,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-21379,1.9,1,12,1,10,1,293,bug,6,6,2,1,1,1,0,0,1,0,0,0,0
sympy/sympy,sympy__sympy-21612,1.9,1,2,1,2,1,79,bug,8,6,2,0,1,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-21614,1.9,1,4,1,6,1,55,bug,8,5,2,1,1,1,1,1,0,0,0,0,0
sympy/sympy,sympy__sympy-21627,1.9,1,2,1,2,1,42,bug,8,6,2,0,1,1,1,0,1,0,0,0,0
sympy/sympy,sympy__sympy-21847,1.9,1,4,1,13,1,134,bug,6,6,2,1,1,1,1,1,1,1,1,0,1
sympy/sympy,sympy__sympy-22005,1.9,1,6,1,5,1,147,bug,6,4,2,1,1,1,1,0,1,0,0,0,0
sympy/sympy,sympy__sympy-22714,1.1,1,2,1,7,1,141,bug,6,6,0,1,1,1,1,1,1,1,0,1,0
sympy/sympy,sympy__sympy-22840,1.1,1,6,2,27,2,580,bug,4,5,1,0,1,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-23117,1.11,1,15,1,21,1,119,bug,14,5,2,1,1,1,1,1,1,1,0,1,0
sympy/sympy,sympy__sympy-23191,1.11,1,24,1,51,1,201,bug,1,6,3,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-23262,1.11,1,4,1,2,1,154,bug,4,6,2,1,1,1,1,1,1,0,1,0,0
sympy/sympy,sympy__sympy-24066,1.12,1,7,1,21,1,57,bug,4,-1,0,1,1,1,1,1,0,1,0,1,0
sympy/sympy,sympy__sympy-24102,1.12,1,2,2,4,2,228,bug,7,6,0,0,0,0,0,0,0,0,0,0,0
sympy/sympy,sympy__sympy-24152,1.12,1,9,1,7,1,297,bug,6,6,2,1,1,1,1,1,1,1,1,1,1
sympy/sympy,sympy__sympy-24213,1.12,1,2,1,16,1,92,bug,10,-1,0,1,1,1,1,1,1,1,0,0,0
sympy/sympy,sympy__sympy-24909,1.13,1,10,1,7,1,96,bug,6,-1,2,0,0,0,0,0,0,0,0,0,0
